Time_s,T_Probe_x0y0_degC,T_Pred_Pt1_degC,T_Pred_Pt2_degC
1.0564334085778782,27.999994257770698,27.996842297821633,28.069901721762264
1.0835214446952595,27.999993420215322,27.996757383034776,28.077881183824523
1.110609480812641,27.999992496470743,27.996673069485,28.08643236945997
1.1376975169300225,27.99999148159401,27.996589345609628,28.095568401097246
1.164785553047404,27.9999903706486,27.996506199243424,28.105301315411523
1.1918735891647856,27.999989158717593,27.996423617756253,28.11564206504341
1.2189616252821671,27.999987840916127,27.99634158817131,28.12660052591846
1.2460496613995484,27.99998641240311,27.9962600972665,28.13818550956823
1.27313769751693,27.999984868392154,27.996179131661307,28.150404779868428
1.3002257336343115,27.999983204161722,27.99609867789104,28.16326507367147
1.327313769751693,27.999981415064514,27.99601872247022,28.17677212478881
1.3544018058690745,27.99997949653604,27.995939251946538,28.1909306908388
1.3814898419864559,27.99997744410246,27.995860252946628,28.20574458254719
1.4085778781038374,27.99997525338765,27.995781712214793,28.221216695041658
1.435665914221219,27.99997292011955,27.99570361664558,28.237349040766343
1.4627539503386005,27.99997044013579,27.99562595331106,28.254142783699145
1.489841986455982,27.999967809388647,27.995548709483455,28.271598274485353
1.5169300225733635,27.999965023949326,27.995471872653837,28.289715086308675
1.5440180586907448,27.99996208001165,27.995395430547294,28.308492051094873
1.5711060948081264,27.99995897389512,27.99531937113514,28.327927295942843
1.5981941309255079,27.99995570204744,27.995243682644492,28.348018279496944
1.6252821670428894,27.999952261046506,27.995168353565607,28.368761828158576
1.652370203160271,27.999948647601887,27.995093372657262,28.390154171807275
1.6794582392776523,27.999944858555857,27.995018728950445,28.412190979173815
1.7065462753950338,27.999940890883984,27.994944411750584,28.434867392393464
1.7336343115124153,27.999936741695322,27.994870410638526,28.458178060977698
1.7607223476297968,27.999932408232237,27.99479671547043,28.48211717486786
1.7878103837471784,27.99992788786988,27.994723316376717,28.506678496622907
1.8148984198645597,27.999923178115356,27.99465020376026,28.53185539260702
1.8419864559819412,27.99991827660661,27.994577368293843,28.55764086328889
1.8690744920993227,27.999913181111047,27.99450480091709,28.584027572304464
1.8961625282167043,27.99990788952392,27.994432492832864,28.61100787466504
1.9232505643340858,27.999902399866517,27.994360435503303,28.638573843718767
1.9503386004514671,27.999896710284144,27.994288620645474,28.666717297085448
1.9774266365688487,27.99989081904396,27.994217040226765,28.69542982153842
2.00451467268623,27.999884724532656,27.99414568646005,28.72470279664277
2.0316027088036117,27.999878425254007,27.994074551798672,28.754527417454284
2.0586907449209932,27.999871919826322,27.994003628931267,28.78489471615555
2.0857787810383748,27.9998652069798,27.993932910776508,28.815795582421842
2.1128668171557563,27.99985828555379,27.993862390477755,28.84722078296094
2.139954853273138,27.99985115449402,27.993792061397667,28.87916098000578
2.167042889390519,27.99984381284976,27.99372191711278,28.9116067487262
2.1941309255079005,27.99983625977094,27.993651951408083,28.94454859373272
2.221218961625282,27.999828494505252,27.993582158271618,28.977976964656587
2.2483069977426635,27.999820516395232,27.993512531889092,29.011882270806662
2.275395033860045,27.999812324875343,27.993443066638537,29.046254894985697
2.3024830699774266,27.99980391946905,27.993373757085035,29.08108520633637
2.329571106094808,27.999795299785898,27.993304597975484,29.11636357253489
2.3566591422121896,27.999786465518643,27.99323558423346,29.15208037110845
2.383747178329571,27.999777416440352,27.99316671095414,29.188226000044487
2.4108352144469527,27.99976815240158,27.993097973399315,29.224790887676843
2.4379232505643342,27.99975867332755,27.993029366992502,29.261765501808366
2.4650112866817153,27.999748979215386,27.992960887314126,29.29914035828684
2.492099322799097,27.999739070131394,27.992892530096828,29.33690602887987
2.5191873589164784,27.99972894620836,27.992824291220856,29.37505314860607
2.54627539503386,27.999718607642937,27.99275616670956,29.413572422439827
2.5733634311512414,27.99970805469304,27.99268815272499,29.452454631558734
2.600451467268623,27.999697287675346,27.9926202455636,29.491690638954534
2.6275395033860045,27.999686306962797,27.992552441652048,29.53127139464127
